Rider_ID,Trip_ID,Segment_ID,Road_Type,Cohort,Road_Damage_F1,Wrong_Way_F2,Illegal_Parking_F3,Lane_Indiscipline_F4,Signal_Violation_F5,Congestion_F6,MFTSI_Score,Self_Reported_Stress,Predicted_Stress,Dominant_Cause,RT_SFMM_Recommendation,Recommendation_Followed,Post_Trip_Stress
SAMPLE-R06,SAMPLE-T000,S001,Highway/IT Corridor,Development,0.720324493,0.000114375,0.302332573,0.146755891,0.092338595,0.186260211,22.92585148,1,2.292585148,F1_Road_Damage,sample recommendation,Yes,0
SAMPLE-R06,SAMPLE-T000,S002,Highway/ORR,Development,0.52454816,0.443452894,0.229577214,0.534413909,0.913962025,0.457204808,49.15293306,3,4.915293306,F5_Signal_Violation,sample recommendation,Yes,0
SAMPLE-R01,SAMPLE-T000,S003,Residential Street,External Validation,0.800744569,0.968261576,0.313424178,0.692322616,0.876389152,0.894606664,76.58023982,7,7.658023982,F2_Wrong_Way,sample recommendation,No,7
SAMPLE-R10,SAMPLE-T000,S004,Highway/IT Corridor,Development,0.691877114,0.315515631,0.686500928,0.834625672,0.018288277,0.750144315,58.86426575,5,5.886426575,F4_Lane_Indiscipline,sample recommendation,No,5
SAMPLE-R05,SAMPLE-T001,S001,Commercial Market,Development,0.280443992,0.789279328,0.103226007,0.447893526,0.908595503,0.293614148,45.45674507,4,4.545674507,F5_Signal_Violation,sample recommendation,Yes,1
SAMPLE-R09,SAMPLE-T001,S002,Commercial Street,Development,0.265546659,0.491573159,0.053362545,0.574117605,0.146728575,0.589305537,39.35084985,4,3.935084985,F6_Congestion,sample recommendation,No,4
SAMPLE-R09,SAMPLE-T001,S003,Arterial Road,Development,0.414055988,0.694400158,0.41417927,0.049953459,0.535896406,0.663794645,45.94545816,5,4.594545816,F2_Wrong_Way,sample recommendation,Yes,3
SAMPLE-R09,SAMPLE-T001,S004,Highway/IT Corridor,Development,0.139276347,0.807391289,0.397676837,0.165354197,0.92750858,0.34776586,43.73961048,4,4.373961048,F5_Signal_Violation,sample recommendation,No,4
SAMPLE-R08,SAMPLE-T002,S001,Residential Area,Development,0.623672207,0.750942434,0.348898342,0.269927892,0.895886218,0.42809119,52.52665073,5,5.252665073,F5_Signal_Violation,sample recommendation,No,5
SAMPLE-R08,SAMPLE-T002,S002,Highway/ORR,Development,0.449912133,0.578389614,0.408136803,0.23702698,0.903379521,0.573679487,49.68645088,5,4.968645088,F5_Signal_Violation,sample recommendation,Yes,3
SAMPLE-R05,SAMPLE-T002,S003,Residential Street,Development,0.527058102,0.885942099,0.35726976,0.908535151,0.623360116,0.015821243,55.70448895,6,5.570448895,F4_Lane_Indiscipline,sample recommendation,No,6
SAMPLE-R10,SAMPLE-T002,S004,Highway/IT Corridor,Development,0.13713575,0.932595463,0.696818161,0.066000173,0.755463053,0.753876188,55.11337568,6,5.511337568,F2_Wrong_Way,sample recommendation,No,6
SAMPLE-R10,SAMPLE-T003,S001,Highway/ORR,Development,0.124270962,0.019880134,0.026210987,0.028306488,0.246211068,0.860027949,22.88363132,5,2.288363132,F6_Congestion,sample recommendation,No,5
SAMPLE-R01,SAMPLE-T003,S002,Residential Area,External Validation,0.279183679,0.585759271,0.969595748,0.561030219,0.018647289,0.800632673,57.86660757,7,5.786660757,F3_Illegal_Parking,sample recommendation,Yes,5
SAMPLE-R03,SAMPLE-T003,S003,Residential Area,Development,0.426909826,0.75187297,0.427812633,0.428382405,0.361904443,0.153338478,43.11175836,5,4.311175836,F2_Wrong_Way,sample recommendation,Yes,4
SAMPLE-R04,SAMPLE-T003,S004,Commercial Street,Development,0.294359475,0.360814754,0.274645151,0.073968994,0.152137158,0.161618525,21.98448643,3,2.198448643,F2_Wrong_Way,sample recommendation,No,3
SAMPLE-R08,SAMPLE-T004,S001,Highway/IT Corridor,Development,0.050018086,0.740955556,0.298680242,0.204358128,0.981756641,0.893021212,51.81473925,6,5.181473925,F5_Signal_Violation,sample recommendation,Yes,4
SAMPLE-R02,SAMPLE-T004,S002,Arterial Road,External Validation,0.317362409,0.988616154,0.579745219,0.380141173,0.550948219,0.745334431,61.24793178,7,6.124793178,F2_Wrong_Way,sample recommendation,No,7
SAMPLE-R08,SAMPLE-T004,S003,Highway/IT Corridor,Development,0.066334834,0.370084198,0.629717507,0.21017401,0.752755554,0.066536481,30.90423444,4,3.090423444,F5_Signal_Violation,sample recommendation,Yes,1
SAMPLE-R08,SAMPLE-T004,S004,Commercial Street,Development,0.839645214,0.623292113,0.324517496,0.728011643,0.52273663,0.736811466,64.45211139,6,6.445211139,F1_Road_Damage,sample recommendation,Yes,5
SAMPLE-R04,SAMPLE-T005,S001,Commercial Street,Development,0.234362086,0.616778357,0.949016321,0.950176119,0.556653188,0.91560635,72.9684245,6,7.29684245,F4_Lane_Indiscipline,sample recommendation,Yes,4
SAMPLE-R06,SAMPLE-T005,S002,Residential Street,Development,0.926181427,0.918733436,0.394875613,0.963262528,0.173955667,0.126329519,61.72192193,8,6.172192193,F4_Lane_Indiscipline,sample recommendation,Yes,5
SAMPLE-R07,SAMPLE-T005,S003,Highway/IT Corridor,Development,0.459545284,0.961317262,0.33418522,0.472083421,0.105391252,0.503075906,51.68940187,5,5.168940187,F2_Wrong_Way,sample recommendation,Yes,4
SAMPLE-R05,SAMPLE-T005,S004,Residential Street,Development,0.241489141,0.023884095,0.965726804,0.429967899,0.346288516,0.577067631,42.18951681,5,4.218951681,F3_Illegal_Parking,sample recommendation,Yes,2
SAMPLE-R05,SAMPLE-T006,S001,Arterial Road,Development,0.952831124,0.218393232,0.2487002,0.863801795,0.235268331,0.815100056,58.32155482,4,5.832155482,F1_Road_Damage,sample recommendation,Yes,1
SAMPLE-R10,SAMPLE-T006,S002,Residential Area,Development,0.049711016,0.399415291,0.576903962,0.867517456,0.786162238,0.254702754,47.69355708,5,4.769355708,F4_Lane_Indiscipline,sample recommendation,Yes,3
SAMPLE-R01,SAMPLE-T006,S003,Highway/IT Corridor,External Validation,0.417382796,0.347690018,0.699884032,0.697509496,0.074723898,0.036469704,39.13962575,4,3.913962575,F3_Illegal_Parking,sample recommendation,Yes,3
SAMPLE-R06,SAMPLE-T006,S004,Highway/ORR,Development,0.382102752,0.41081135,0.401479583,0.317383946,0.621919368,0.430247271,41.14178005,4,4.114178005,F5_Signal_Violation,sample recommendation,No,4
SAMPLE-R10,SAMPLE-T007,S001,Arterial Junction,Development,0.198569888,0.426701009,0.34334624,0.797638804,0.879998289,0.903841956,59.49236019,5,5.949236019,F6_Congestion,sample recommendation,Yes,2
SAMPLE-R01,SAMPLE-T007,S002,Residential Street,External Validation,0.859883575,0.185114306,0.083546346,0.0442723,0.443807988,0.019318749,23.56363579,3,2.356363579,F1_Road_Damage,sample recommendation,Yes,1
SAMPLE-R01,SAMPLE-T007,S003,Arterial Road,External Validation,0.772850427,0.705682137,0.238210916,0.044417941,0.281216896,0.865089639,50.28188345,5,5.028188345,F6_Congestion,sample recommendation,Yes,3
SAMPLE-R02,SAMPLE-T007,S004,Highway/ORR,External Validation,0.475152733,0.847022285,0.838779407,0.13928005,0.540304563,0.467085311,54.17978065,5,5.417978065,F2_Wrong_Way,sample recommendation,Yes,2
SAMPLE-R06,SAMPLE-T008,S001,Commercial Market,Development,0.499584171,0.728585668,0.208194438,0.248033558,0.851671875,0.415848718,46.98275678,3,4.698275678,F5_Signal_Violation,sample recommendation,Yes,0
SAMPLE-R01,SAMPLE-T008,S002,Commercial Street,External Validation,0.152671644,0.621806232,0.544010119,0.654137347,0.14454554,0.751527817,52.44510976,6,5.244510976,F6_Congestion,sample recommendation,Yes,5
SAMPLE-R04,SAMPLE-T008,S003,Residential Area,Development,0.32436246,0.872922376,0.844709608,0.538440593,0.866608274,0.949805991,73.42554296,8,7.342554296,F6_Congestion,sample recommendation,Yes,5
SAMPLE-R01,SAMPLE-T008,S004,Highway/ORR,External Validation,0.759252001,0.406304306,0.704335027,0.585359214,0.96956451,0.303878428,57.56028949,6,5.756028949,F5_Signal_Violation,sample recommendation,Yes,4
SAMPLE-R02,SAMPLE-T009,S001,Highway/IT Corridor,External Validation,0.778922243,0.512661699,0.615264936,0.045661174,0.446099507,0.968012654,55.90051329,6,5.590051329,F6_Congestion,sample recommendation,Yes,4
SAMPLE-R03,SAMPLE-T009,S002,Residential Street,Development,0.993913025,0.546070804,0.526425934,0.135427903,0.355705171,0.026218567,40.51648158,2,4.051648158,F1_Road_Damage,sample recommendation,Yes,1
SAMPLE-R07,SAMPLE-T009,S003,Arterial Junction,Development,0.366543097,0.862346253,0.692677718,0.690942142,0.188636801,0.441904281,57.67853374,6,5.767853374,F2_Wrong_Way,sample recommendation,Yes,3
SAMPLE-R04,SAMPLE-T009,S004,Commercial Street,Development,0.646753913,0.921133581,0.200474754,0.879853103,0.4658077,0.724980122,67.88584314,7,6.788584314,F2_Wrong_Way,sample recommendation,Yes,5
SAMPLE-R03,SAMPLE-T010,S001,Residential Area,Development,0.593432449,0.843840429,0.381016124,0.749858311,0.511141478,0.540951805,62.42115428,7,6.242115428,F2_Wrong_Way,sample recommendation,Yes,5
SAMPLE-R02,SAMPLE-T010,S002,Arterial Junction,External Validation,0.456977907,0.361274713,0.816007507,0.045811518,0.387827789,0.458523182,40.28524735,4,4.028524735,F3_Illegal_Parking,sample recommendation,No,4
SAMPLE-R01,SAMPLE-T010,S003,Commercial Market,External Validation,0.277405466,0.817768394,0.65631586,0.011280314,0.735353694,0.603494644,50.01022388,6,5.001022388,F2_Wrong_Way,sample recommendation,Yes,3
SAMPLE-R03,SAMPLE-T010,S004,Residential Street,Development,0.754861481,0.39485048,0.746938496,0.452404827,0.450086747,0.478072507,53.5344234,7,5.35344234,F1_Road_Damage,sample recommendation,Yes,6
SAMPLE-R10,SAMPLE-T011,S001,Commercial Street,Development,0.779500193,0.994364791,0.653689755,0.03742794,0.719089364,0.688116096,63.08691941,5,6.308691941,F2_Wrong_Way,sample recommendation,Yes,2
SAMPLE-R08,SAMPLE-T011,S002,Residential Area,Development,0.91527432,0.145558231,0.15773007,0.187631673,0.622495902,0.905809496,47.10001287,5,4.710001287,F1_Road_Damage,sample recommendation,No,5
SAMPLE-R02,SAMPLE-T011,S003,Residential Street,External Validation,0.731800409,0.909293205,0.400873732,0.24985068,0.173430171,0.11945705,44.29643253,4,4.429643253,F2_Wrong_Way,sample recommendation,Yes,3
SAMPLE-R06,SAMPLE-T011,S004,Residential Street,Development,0.281582795,0.991654003,0.799661193,0.501636232,0.772315338,0.124280038,56.29321866,6,5.629321866,F2_Wrong_Way,sample recommendation,No,6
SAMPLE-R04,SAMPLE-T012,S001,Residential Street,Development,0.228604815,0.842486345,0.305571614,0.484321556,0.650053583,0.143942844,43.92819717,5,4.392819717,F2_Wrong_Way,sample recommendation,No,5
SAMPLE-R04,SAMPLE-T012,S002,Arterial Road,Development,0.267087552,0.880343472,0.497983309,0.333439261,0.894696612,0.204483042,48.78834453,5,4.878834453,F5_Signal_Violation,sample recommendation,No,5
SAMPLE-R03,SAMPLE-T012,S003,Commercial Street,Development,0.522796031,0.161937894,0.948977019,0.059449076,0.886499486,0.574344224,46.85621449,6,4.685621449,F3_Illegal_Parking,sample recommendation,Yes,3
